Ime igralca;Minut/tekmo;Točke;Skoki;Podaje;FG%;FG3%;FT%
Jared Harper;27,1;17,5;1,8;4,3;0,354;0,222;0,78
Jared Rhoden;14,1;3,2;2,6;0,3;0,386;0,25;1,0
Jared Rhoden;23,2;10,6;5,0;1,5;0,451;0,308;0,867
Jared Wilson-Frame;13,5;4,8;2,8;1,3;0,286;0,176;0,0
Jaren Jackson Jr,;28,4;18,6;6,8;1,0;0,506;0,355;0,788
Jarred Vanderbilt;24,1;7,9;7,5;2,4;0,548;0,322;0,691
Jarrell Brantley;21,9;7,6;4,8;1,8;0,5;0,313;0,2
Jarrell Brantley;9,7;5,5;1,5;0,8;0,571;0,444;1,0
Jarrett Allen;32,6;14,3;9,8;1,7;0,644;0,1;0,733
Jarrett Culver;13,7;4,4;3,8;0,6;0,395;0,083;0,692
